STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WSF2,WT01,WT02,WT05,WT07,WT08,WT09,WT13,WT16
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/6/10,1.57,0,,,81,65,270,10.1,,,,1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/7/10,1.57,0,,,77,64,270,8.1,,,,1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/8/10,1.34,0,,,74,64,270,8.1,,,,1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/9/10,1.79,0,,,75,64,270,10.1,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/10/10,2.01,0,,,75,65,280,8.9,,,,,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/11/10,1.79,0,,,74,63,270,8.9,,,,,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/12/10,1.79,0,,,75,63,260,8.9,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/13/10,1.79,0,,,75,62,280,8.9,,,,1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/14/10,2.01,0,,,79,61,270,10.1,1,,,1,1,,1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/15/10,1.12,0,,,81,63,280,8.1,,,,1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/16/10,2.01,0,,,78,63,280,8.9,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/17/10,1.57,0,,,78,61,270,8.9,,,,1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,6/18/10,1.57,0,,,78,62,270,10.1,,,,1,1,,,
